frame,class,id,x_center,y_center,x,y,w,h
0,car,1,191.36247,666.3668,0.72494507,567.2749,381.27505,198.1839
0,truck,2,176.49455,404.26312,165.45432,391.68475,22.080475,25.156708
1,car,1,191.0,665.30273,0.0,564.9059,382.0,200.79376
1,truck,2,175.7797,403.97046,164.50749,391.14117,22.544418,25.658539
2,car,1,191.0,664.97363,0.0,563.93744,382.0,202.07239
2,truck,2,175.74872,403.9864,163.78938,390.35938,23.918686,27.253998
3,car,1,191.0,664.6536,0.0,564.20844,382.0,200.89038
3,truck,2,175.73502,404.05722,163.54121,390.14212,24.387604,27.8302
4,car,1,191.0,664.27893,0.0,564.0573,382.0,200.44318
4,truck,2,175.49084,404.0157,162.99718,389.7227,24.987335,28.585968
5,car,1,191.0,664.95074,0.0,564.0872,382.0,201.72705
5,truck,2,175.60287,403.6954,162.9303,389.14597,25.34517,29.098877
6,car,1,191.0,664.9474,0.0,564.17523,382.0,201.54437
6,truck,2,175.61998,403.94598,163.19786,389.6623,24.844238,28.567352
7,car,1,191.0,664.44495,0.0,562.8427,382.0,203.2044
7,truck,2,175.6051,404.12262,163.1035,389.695,25.00322,28.855194
8,car,1,191.0,664.6808,0.0,563.7752,382.0,201.81116
8,truck,2,175.81787,404.1891,163.6642,390.16605,24.307358,28.046112
9,car,1,191.0,664.76624,0.0,563.9395,382.0,201.65338
9,truck,2,175.87485,404.2223,163.86266,390.3591,24.024384,27.72638
10,car,1,191.0,664.8635,0.0,564.4275,382.0,200.87201
10,truck,2,175.7395,404.10144,163.73169,390.25183,24.015625,27.699219
11,car,1,191.0,664.72504,0.0,564.52374,382.0,200.40259
11,truck,2,175.74089,403.86713,163.55544,389.80154,24.37091,28.131195
12,car,1,191.37952,665.26404,0.8216345,565.5194,381.11575,199.48926
12,truck,2,175.65402,403.67322,163.29086,389.39407,24.726303,28.558289
13,car,1,191.0,663.8041,0.0,563.3633,382.0,200.88159
13,truck,2,175.51474,404.34683,163.53256,390.57224,23.964355,27.549194
14,car,1,191.0,663.5073,0.0,562.49677,382.0,202.02112
14,truck,2,175.50546,404.30893,163.42157,390.44897,24.16777,27.71991
15,car,1,191.0,663.5492,0.0,562.9881,382.0,201.1222
15,truck,2,175.55087,404.45715,163.42482,390.55814,24.25209,27.798035
16,car,1,191.0,663.8717,0.0,562.5249,382.0,202.6936
16,truck,2,175.54333,404.53827,163.39445,390.62723,24.297775,27.822052
17,car,1,191.0,663.9365,0.0,561.52094,382.0,204.83118
17,truck,2,175.55785,404.3946,163.25587,390.2929,24.603943,28.203339
18,car,1,191.0,664.058,0.0,561.27576,382.0,205.56445
18,truck,2,175.50697,404.35883,163.05717,390.0657,24.899597,28.586273
19,car,1,191.0,664.1101,0.0,561.1953,382.0,205.82965
19,truck,2,175.39714,404.86252,163.11339,390.78394,24.567505,28.157166
20,car,1,191.0,663.9515,0.0,561.22833,382.0,205.44629
20,truck,2,175.46463,404.5788,162.95668,390.229,25.0159,28.699554
21,car,1,191.0,663.9614,0.0,561.9151,382.0,204.09259
21,truck,2,175.66847,404.33792,162.7446,389.41742,25.847748,29.841003
22,car,1,191.03143,663.874,0.06288537,562.4256,381.9371,202.89685
22,truck,2,175.66812,404.82874,162.85368,389.99274,25.62886,29.671997
23,car,1,191.04738,664.4972,0.09476269,563.0211,381.90524,202.95215
23,truck,2,175.76971,405.0965,162.96098,390.22372,25.617477,29.745544
24,car,1,191.0,664.469,0.0,562.7776,382.0,203.38281
24,truck,2,175.82516,405.4206,162.98906,390.46606,25.672226,29.909058
25,car,1,191.0,664.12384,0.0,562.32465,382.0,203.59839
25,truck,2,175.98364,405.63983,163.2015,390.72656,25.564255,29.826538
26,car,1,191.0,664.3069,0.0,562.3819,382.0,203.84991
26,truck,2,176.0806,405.5381,163.8373,391.34583,24.486588,28.384521
27,car,1,191.0,664.0702,0.0,562.01984,382.0,204.10065
27,truck,2,176.10855,404.82642,163.80463,390.60947,24.607864,28.433899
28,car,1,191.38824,664.5503,1.2366947,563.48834,380.3031,202.12396
28,truck,2,176.26181,403.25394,163.27988,388.19315,25.963852,30.121582
29,car,1,191.37367,664.1892,1.2465155,563.1609,380.2543,202.05664
29,truck,2,176.4812,402.46014,163.28162,387.0889,26.39917,30.742493
30,car,1,191.36809,664.7613,1.2321386,563.7502,380.2719,202.02222
30,truck,2,176.63226,402.31433,163.45102,386.91165,26.362488,30.805359
31,car,1,191.355,664.54535,1.2547345,563.57465,380.20053,201.9414
31,truck,2,176.77115,402.27008,163.52611,386.74942,26.490067,31.04129
32,car,1,191.11365,664.84686,0.22731198,563.28674,381.77267,203.12024
32,truck,2,176.77573,402.4901,163.47115,386.83472,26.609146,31.31076
33,car,1,191.0,664.788,0.0,562.6672,382.0,204.2417
33,truck,2,176.8331,402.71356,163.53322,387.01382,26.599762,31.399506
34,car,1,191.0,664.47284,0.0,562.6811,382.0,203.5835
34,truck,2,176.85114,403.6413,163.80527,388.266,26.09172,30.75061
35,car,1,191.0,664.2872,0.0,562.4313,382.0,203.71179
35,truck,2,176.902,404.4447,163.75713,388.96085,26.289734,30.967712
36,car,1,191.0,664.387,0.0,561.9612,382.0,204.85168
36,truck,2,177.0568,404.8413,163.78825,389.22864,26.537094,31.225372
37,car,1,191.0,664.06323,0.0,561.58734,382.0,204.95172
37,truck,2,177.3042,404.94122,163.91406,389.17453,26.780289,31.533417
38,car,1,191.20435,665.00476,0.40868676,563.19183,381.5913,203.62592
38,truck,2,177.50142,404.90063,164.08543,389.1056,26.83197,31.590057
39,car,1,191.0,664.477,0.0,561.8296,382.0,205.2948
39,truck,2,177.36221,404.7903,164.50104,389.73312,25.722351,30.11438
40,car,1,191.0,664.447,0.0,561.5133,382.0,205.86743
40,truck,2,177.30939,404.84338,164.67744,390.15582,25.263885,29.375153
41,car,1,191.0,664.2624,0.0,561.75574,382.0,205.0133
41,truck,2,177.2762,404.7704,164.61581,390.13226,25.32077,29.276215
42,car,1,191.0,664.519,0.0,562.0853,382.0,204.86731
42,truck,2,177.20503,404.92874,164.51715,390.34216,25.375763,29.173157
43,car,1,191.0,664.5901,0.0,561.9934,382.0,205.19342
43,truck,2,177.14262,405.036,164.28198,390.3004,25.721283,29.47116
44,car,1,191.0,665.20844,0.0,562.7212,382.0,204.97449
44,truck,2,177.09756,405.1501,164.19359,390.419,25.807968,29.462158
45,car,1,191.30681,665.67004,1.6257946,564.1845,379.36203,202.97101
45,truck,2,177.2589,405.4355,163.89432,390.16965,26.729156,30.531647
46,car,1,191.33324,665.8346,2.3985357,564.8647,377.86942,201.93988
46,truck,2,177.31584,405.46814,163.74008,389.9448,27.15152,31.046722
47,car,1,191.37132,666.6378,1.8755406,565.4102,378.99158,202.45526
47,truck,2,177.30728,405.6138,163.6528,390.00888,27.30896,31.209839
48,car,1,191.37216,665.08105,2.6232858,564.3729,377.49774,201.4162
